station_id,name,lat,lon,capacity
72,W 52 St & 11 Ave,40.76727216,-73.99392888,55
79,Franklin St & W Broadway,40.71911552,-74.00666661,33
82,St James Pl & Pearl St,40.71117416,-74.00016545,27
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,62
116,W 17 St & 8 Ave,40.74177603,-74.00149746,50
119,Park Ave & St Edwards St,40.69608941,-73.97803415,53
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,19
127,Barrow St & Hudson St,40.73172428,-74.00674436,31
128,MacDougal St & Prince St,40.72710258,-74.00297088,56
143,Clinton St & Joralemon St,40.69239502,-73.99337909,50
144,Nassau St & Navy St,40.69839895,-73.98068914,58
146,Hudson St & Reade St,40.71625008,-74.0091059,55
150,E 2 St & Avenue C,40.7208736,-73.98085795,56
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,33
152,Warren St & W Broadway,40.71473993,-74.00910627,49
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,63
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,23
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,35
164,E 47 St & 2 Ave,40.75323098,-73.97032517,77
168,W 18 St & 6 Ave,40.73971301,-73.99456405,47
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,0
174,E 25 St & 1 Ave,40.7381765,-73.97738662,35
212,W 16 St & The High Line,40.74334935,-74.00681753,60
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,37
217,Old Fulton St,40.70277159,-73.99383605,39
223,W 13 St & 7 Ave,40.73781509,-73.99994661,33
224,Spruce St & Nassau St,40.71146364,-74.00552427,34
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,55
229,Great Jones St,40.72743423,-73.99379025,23
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,52
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,50
238,Bank St & Washington St,40.7361967,-74.00859207,31
239,Willoughby St & Fleet St,40.69196566,-73.9813018,31
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,23
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,46
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,51
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,79
247,Perry St & Bleecker St,40.73535398,-74.00483091,79
248,Laight St & Hudson St,40.72185379,-74.00771779,91
249,Harrison St & Hudson St,40.71870987,-74.0090009,27
250,Lafayette St & Jersey St,40.72456089,-73.99565293,40
251,Mott St & Prince St,40.72317958,-73.99480012,27
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,33
254,W 11 St & 6 Ave,40.73532427,-73.99800419,47
257,Lispenard St & Broadway,40.71939226,-74.00247214,79
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,23
259,South St & Whitehall St,40.70122128,-74.01234218,39
260,Broad St & Bridge St,40.70365182,-74.01167797,33
261,Johnson St & Gold St,40.69474881,-73.98362464,41
262,Washington Park,40.6917823,-73.9737299,24
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,29
265,Stanton St & Chrystie St,40.72229346,-73.99147535,35
266,Ave D & E 8 St,40.72368361,-73.97574813,30
267,Broadway & W 36 St,40.75097711,-73.98765428,78
268,Howard St & Centre St,40.71910537,-73.99973337,27
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,28
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,31
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,19
276,Duane St & Greenwich St,40.71748752,-74.0104554,25
278,Concord St & Bridge St,40.69766564,-73.98476437,19
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,66
282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,27
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,51
285,Broadway & E 14 St,40.73454567,-73.99074142,78
289,Monroe St & Classon Ave,40.6845683,-73.95881081,19
291,Madison St & Montgomery St,40.713126,-73.984844,20
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,91
295,Pike St & E Broadway,40.71406667,-73.99293911,24
297,E 15 St & 3 Ave,40.734232,-73.986923,77
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,35
301,E 2 St & Avenue B,40.72217444,-73.98368779,58
302,Avenue D & E 3 St,40.72082834,-73.97793172,37
303,Mercer St & Spring St,40.72362738,-73.99949601,67
304,Broadway & Battery Pl,40.70463334,-74.01361706,34
305,E 58 St & 3 Ave,40.76095756,-73.96724467,33
307,Canal St & Rutgers St,40.71427487,-73.98990025,31
308,St James Pl & Oliver St,40.71307916,-73.99851193,48
309,Murray St & West St,40.7149787,-74.013012,41
310,State St & Smith St,40.68926942,-73.98912867,66
311,Norfolk St & Broome St,40.7172274,-73.98802084,31
312,Allen St & Stanton St,40.722055,-73.989111,33
313,Washington Ave & Park Ave,40.69610226,-73.96751037,55
315,South St & Gouverneur Ln,40.70355377,-74.00670227,29
316,Fulton St & William St,40.70960089363537,-74.00655090808868,43
317,E 6 St & Avenue B,40.72453734,-73.98185424,67
319,Fulton St & Broadway,40.711066,-74.009447,33
320,Leonard St & Church St,40.717571,-74.005549,54
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,39
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,39
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,74
325,E 19 St & 3 Ave,40.73624527,-73.98473765,35
326,E 11 St & 1 Ave,40.72953837,-73.98426726,41
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,39
328,Watts St & Greenwich St,40.72405549,-74.00965965,35
